iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
234,90.7519,1000.0,0.931169,0.945945,0.0,0.0,0.485821,87316.0,0.274425
235,88.812119,1000.0,0.929547,0.942147,0.0,0.0,0.484743,78429.0,0.273878
236,89.854515,1000.0,0.931834,0.946515,0.0,0.0,0.48357,98050.0,0.275863
237,89.450226,988.440002,0.926554,0.940987,0.086957,0.0,0.482358,94891.0,0.270388
238,90.077248,985.580017,0.915623,0.929206,0.086957,0.0,0.481476,95494.0,0.273869
239,88.797501,983.119995,0.916124,0.929055,0.095238,0.0,0.48036,85809.0,0.268888
240,86.244141,974.150024,0.914849,0.929371,0.043478,0.0,0.47974,83980.0,0.272555
241,85.847466,991.030029,0.932826,0.948156,0.0,0.0,0.478928,79109.0,0.272396
242,86.961502,1000.0,0.930979,0.94584,0.0,0.0,0.478345,80215.0,0.275352
243,89.905876,1000.0,0.932962,0.947976,0.0,0.0,0.477601,88794.0,0.272264
244,89.559189,1000.0,0.933085,0.948202,0.0,0.0,0.476824,77166.0,0.275984
245,89.03125,995.030029,0.927115,0.940776,0.045455,0.0,0.476013,86926.0,0.271069
246,89.490974,1000.0,0.932589,0.947218,0.0,0.0,0.474833,78633.0,0.276384
247,89.943932,1000.0,0.932475,0.947999,0.0,0.0,0.474193,80752.0,0.272251
248,88.04866,993.640015,0.927106,0.942304,0.086957,0.0,0.474066,78550.0,0.274256
249,86.756973,995.570007,0.930899,0.947184,0.041667,0.0,0.473711,85470.0,0.272429
250,90.613319,998.179993,0.932915,0.947361,0.041667,0.0,0.473202,70236.0,0.266545
251,89.003143,1000.0,0.931398,0.945528,0.041667,0.0,0.472632,79663.0,0.269364
252,89.846947,999.219971,0.932611,0.947892,0.041667,0.0,0.471611,74198.0,0.272065
253,87.297913,995.77002,0.931881,0.946645,0.041667,0.0,0.470893,73917.0,0.269724
254,91.647804,1000.0,0.934618,0.948482,0.0,0.0,0.470648,65881.0,0.26961
255,91.014969,1000.0,0.934123,0.947253,0.0,0.0,0.47013,80835.0,0.268653
256,90.236908,1000.0,0.929996,0.945099,0.041667,0.0,0.46949,6806.0,0.268523
257,92.497009,990.599976,0.932694,0.945683,0.041667,0.0,0.468332,68634.0,0.265667
258,88.259361,1000.0,0.932139,0.946733,0.041667,0.0,0.467665,70707.0,0.269226
259,87.832764,991.619995,0.930919,0.944361,0.041667,0.0,0.466583,62847.0,0.268357
260,88.694031,1000.0,0.934975,0.948903,0.0,0.0,0.465634,73215.0,0.268023
261,89.803291,998.359985,0.935535,0.949156,0.041667,0.0,0.465468,87343.0,0.265172
262,90.955383,1000.0,0.935682,0.948807,0.0,0.0,0.464446,84260.0,0.268596
263,90.450218,1000.0,0.937878,0.949897,0.0,0.0,0.463248,78580.0,0.265204
264,90.653358,1000.0,0.936632,0.949997,0.0,0.0,0.462958,62997.0,0.266129
265,87.296982,1000.0,0.937279,0.950642,0.0,0.0,0.46175,81672.0,0.265733
266,93.13958,998.669983,0.93515,0.948613,0.041667,0.0,0.46091,87609.0,0.267995
267,90.384438,1000.0,0.93628,0.949358,0.0,0.0,0.45924,86851.0,0.266636
268,91.089043,1000.0,0.935435,0.950147,0.0,0.0,0.458558,80377.0,0.265851
269,90.349617,991.450012,0.930799,0.944483,0.125,0.0,0.45769,90017.0,0.262389
270,91.250229,1000.0,0.938029,0.951107,0.0,0.0,0.45675,77655.0,0.265951
271,92.28466,1000.0,0.937264,0.950516,0.0,0.0,0.455295,86058.0,0.265828
272,90.134216,993.869995,0.91561,0.925346,0.041667,0.0,0.454157,78961.0,0.255948
273,91.223976,994.950012,0.93374,0.946971,0.043478,0.0,0.452739,80981.0,0.262816
274,91.325882,994.039978,0.931626,0.941547,0.045455,0.0,0.451671,83220.0,0.259011
275,93.165352,995.419983,0.933097,0.946356,0.043478,0.0,0.450503,70184.0,0.261296
276,91.36805,1000.0,0.939202,0.950697,0.0,0.0,0.449157,80565.0,0.262818
277,90.756317,992.900024,0.933335,0.944199,0.043478,0.0,0.44813,83711.0,0.259478
278,90.791855,1000.0,0.937882,0.949986,0.0,0.0,0.447177,80838.0,0.263287
279,91.198471,1000.0,0.940584,0.950677,0.0,0.0,0.445818,82364.0,0.261371
280,89.128502,1000.0,0.941526,0.951622,0.0,0.0,0.444668,74138.0,0.261198
281,91.582962,1000.0,0.940195,0.950044,0.0,0.0,0.443515,82635.0,0.26111
282,89.916702,1000.0,0.938992,0.952282,0.0,0.0,0.442478,84147.0,0.26407
283,89.79557,1000.0,0.94105,0.951375,0.0,0.0,0.441582,81241.0,0.262223
284,90.676857,1000.0,0.942954,0.949589,0.0,0.0,0.441022,86702.0,0.257375
285,92.643837,1000.0,0.941501,0.952024,0.0,0.0,0.440076,76560.0,0.262259
286,89.742363,996.960022,0.93861,0.951074,0.047619,0.0,0.439088,81391.0,0.265068
287,88.59388,993.909973,0.939415,0.948417,0.041667,0.0,0.438115,91902.0,0.25874
