iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
213,49.879143,500.0,1.999709,-0.000114,0.0,0.0,0.033712,114582.0
214,49.881256,500.0,1.999722,-0.000114,0.0,0.0,0.033002,107705.0
215,49.883041,500.0,1.999719,-0.000111,0.0,0.0,0.032332,101790.0
216,49.884991,500.0,1.999728,-0.000108,0.0,0.0,0.03183,105175.0
217,49.887306,500.0,1.999726,-0.000108,0.0,0.0,0.031597,105843.0
218,49.888931,500.0,1.999732,-0.000106,0.0,0.0,0.030987,105614.0
219,49.89101,500.0,1.999733,-0.000106,0.0,0.0,0.030334,102619.0
220,49.892693,500.0,1.999736,-0.000101,0.0,0.0,0.029822,107506.0
221,49.894436,500.0,1.99973,-0.0001,0.0,0.0,0.029271,104467.0
222,49.896648,500.0,1.999733,-9.7e-05,0.0,0.0,0.028795,94666.0
223,49.897839,500.0,1.999721,-9.7e-05,0.0,0.0,0.028312,112902.0
224,49.89941,500.0,1.999713,-9.5e-05,0.0,0.0,0.027763,110254.0
225,49.901344,500.0,1.999707,-9.4e-05,0.0,0.0,0.027215,99808.0
226,49.902527,500.0,1.999712,-9.2e-05,0.0,0.0,0.02665,99496.0
227,49.903896,500.0,1.999698,-9e-05,0.0,0.0,0.026089,99096.0
228,49.905655,500.0,1.999705,-8.7e-05,0.0,0.0,0.025593,102811.0
229,49.906494,500.0,1.999699,-8.9e-05,0.0,0.0,0.025137,107442.0
230,49.908371,500.0,1.999691,-8.8e-05,0.0,0.0,0.024697,103094.0
231,49.909176,500.0,1.999689,-8.9e-05,0.0,0.0,0.024246,58896.0
232,49.910431,500.0,1.999688,-8.9e-05,0.0,0.0,0.023853,59753.0
233,49.911366,500.0,1.999682,-9e-05,0.0,0.0,0.023538,58256.0
234,49.912617,500.0,1.999686,-8.5e-05,0.0,0.0,0.023082,80903.0
235,49.913845,500.0,1.999675,-8.6e-05,0.0,0.0,0.022694,83681.0
236,49.91468,500.0,1.99967,-8.8e-05,0.0,0.0,0.022354,119597.0
237,49.915283,500.0,1.999664,-8.8e-05,0.0,0.0,0.022006,120145.0
238,49.915676,500.0,1.999661,-9e-05,0.0,0.0,0.021679,114008.0
239,49.917522,500.0,1.999663,-8.7e-05,0.0,0.0,0.021414,116630.0
240,49.917892,500.0,1.99965,-8.8e-05,0.0,0.0,0.021029,114195.0
241,49.918568,500.0,1.999648,-8.7e-05,0.0,0.0,0.020716,111443.0
242,49.919594,500.0,1.999646,-8.6e-05,0.0,0.0,0.020331,118591.0
243,49.920113,500.0,1.999641,-8.7e-05,0.0,0.0,0.01999,109832.0
244,49.920765,500.0,1.999635,-8.9e-05,0.0,0.0,0.019694,107595.0
245,49.92178,500.0,1.99963,-8.9e-05,0.0,0.0,0.019353,104405.0
246,49.921726,500.0,1.999624,-8.7e-05,0.0,0.0,0.019138,113018.0
247,49.922722,500.0,1.999622,-8.6e-05,0.0,0.0,0.01885,117426.0
248,49.922863,500.0,1.999618,-8.9e-05,0.0,0.0,0.018487,116679.0
249,49.9231,500.0,1.999606,-9e-05,0.0,0.0,0.018186,106332.0
250,49.924358,500.0,1.9996,-8.5e-05,0.0,0.0,0.017926,106705.0
251,49.924477,500.0,1.999593,-8.7e-05,0.0,0.0,0.017625,103383.0
252,49.925316,500.0,1.999585,-8.5e-05,0.0,0.0,0.017369,95915.0
253,49.925499,500.0,1.999578,-8.6e-05,0.0,0.0,0.017129,106284.0
254,49.925678,500.0,1.999568,-8.9e-05,0.0,0.0,0.016886,95773.0
255,49.926601,500.0,1.999552,-8.8e-05,0.0,0.0,0.016714,95608.0
256,49.926647,500.0,1.999549,-8.5e-05,0.0,0.0,0.01657,99137.0
257,49.927296,500.0,1.999539,-8.4e-05,0.0,0.0,0.016375,97636.0
258,49.927494,500.0,1.999524,-8.4e-05,0.0,0.0,0.016176,100611.0
259,49.927937,500.0,1.999512,-8.5e-05,0.0,0.0,0.015975,100144.0
260,49.92857,500.0,1.999499,-8.5e-05,0.0,0.0,0.015763,89902.0
261,49.9291,500.0,1.99949,-8.3e-05,0.0,0.0,0.015521,116143.0
262,49.928875,500.0,1.99948,-8.4e-05,0.0,0.0,0.015315,104799.0
263,49.928799,500.0,1.999465,-8.6e-05,0.0,0.0,0.015112,115888.0
264,49.929268,500.0,1.999458,-8.4e-05,0.0,0.0,0.014876,117142.0
265,49.929848,500.0,1.999444,-8.4e-05,0.0,0.0,0.014677,113910.0
266,49.929962,500.0,1.999437,-8e-05,0.0,0.0,0.014552,118402.0
267,49.929958,500.0,1.999407,-8.6e-05,0.0,0.0,0.014412,117956.0
268,49.930328,500.0,1.999407,-8.2e-05,0.0,0.0,0.014193,111097.0
269,49.930763,500.0,1.999393,-8.3e-05,0.0,0.0,0.01399,110637.0
