iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
42,54.257786,947.76001,0.682623,0.696597,1.0,0.0,0.73871,67616.0,0.428787,1.759041,0.076523,0.426854,-0.071676,0.342459,7.317954,-0.1,-0.001,-0.01,-0.02,-0.2,0.46596,-0.004338,-0.01091,-0.006767,-0.00052,-0.441819,-0.172943,-0.026833,0.670376,-0.095397,-0.041921,-0.208976,-0.110173,0.74218,0.051059,-0.152873,-0.080213,-0.066649,4.625,0.022093,0.172987,0.218807
43,54.596905,936.700012,0.68761,0.703475,0.666667,0.0,0.735307,66475.0,0.434862,1.780258,0.078712,0.444126,-0.075284,0.352641,7.316476,-0.1,-0.001,-0.01,-0.02,-0.2,0.470445,-0.00434,-0.010777,-0.003817,-0.000546,-0.440328,-0.174409,-0.027413,0.69425,-0.095117,-0.041695,-0.21536,-0.114513,0.734046,0.05211,-0.152664,-0.068305,-0.06331,6.458333,0.019182,0.138479,0.178298
44,55.666367,957.700012,0.706551,0.731175,0.583333,0.0,0.73026,64317.0,0.4501,1.82297,0.080691,0.446711,-0.077352,0.360778,7.31868,-0.1,-0.001,-0.01,-0.02,-0.2,0.485827,-0.004412,-0.010614,-0.002772,-0.000535,-0.44683,-0.177315,-0.027753,0.702602,-0.097903,-0.043907,-0.221047,-0.113455,0.765608,0.054025,-0.155237,-0.086735,-0.068869,7.208333,0.018261,0.13771,0.165353
45,58.52404,952.450012,0.728006,0.720554,0.583333,0.083333,0.725227,67925.0,0.420315,1.792677,0.076089,0.431321,-0.073711,0.364027,7.319692,-0.1,-0.001,-0.01,-0.02,-0.2,0.474663,-0.004365,-0.010288,-0.003369,-0.000526,-0.430092,-0.173248,-0.02732,0.683657,-0.095822,-0.041852,-0.21544,-0.111303,0.807957,0.052452,-0.14961,-0.071196,-0.068413,7.25,0.018143,0.136534,0.147875
46,57.238808,973.359985,0.728533,0.758237,0.333333,0.0,0.72188,67942.0,0.452255,1.84848,0.084072,0.47136,-0.080695,0.396011,7.300778,-0.1,-0.001,-0.01,-0.02,-0.2,0.489897,-0.004515,-0.011147,-0.00209,-0.000565,-0.436949,-0.181299,-0.027775,0.728124,-0.098173,-0.044225,-0.223809,-0.119214,0.798226,0.054894,-0.152163,-0.114984,-0.102584,7.0,0.015922,0.128397,0.136986
47,58.546181,976.47998,0.743791,0.747825,0.541667,0.0,0.718911,67672.0,0.440219,1.860967,0.085158,0.453495,-0.080799,0.388205,7.328928,-0.1,-0.001,-0.01,-0.02,-0.2,0.486453,-0.004401,-0.010204,-0.003005,-0.000545,-0.428885,-0.178692,-0.027359,0.717496,-0.097834,-0.044806,-0.224619,-0.115416,0.803214,0.053187,-0.149605,-0.100554,-0.091898,6.416667,0.019438,0.132858,0.158303
48,57.650284,943.309998,0.736271,0.749189,0.583333,0.0,0.715179,68659.0,0.437968,1.869408,0.086919,0.454103,-0.082691,0.408565,7.348354,-0.1,-0.001,-0.01,-0.02,-0.2,0.482322,-0.004333,-0.008826,-0.002974,-0.000523,-0.419554,-0.17962,-0.026753,0.710082,-0.099159,-0.045861,-0.224423,-0.111602,0.809366,0.050748,-0.146558,-0.074107,-0.066367,6.041667,0.018087,0.107803,0.160291
49,59.600788,946.619995,0.722751,0.720505,0.708333,0.0,0.71156,68555.0,0.403281,1.746201,0.077951,0.429198,-0.078961,0.403099,7.356566,-0.1,-0.001,-0.01,-0.02,-0.2,0.462654,-0.004144,-0.008421,-0.007471,-0.000506,-0.392739,-0.168304,-0.025794,0.675709,-0.091343,-0.042657,-0.218135,-0.105158,0.808945,0.051813,-0.137781,-0.08925,-0.07583,4.791667,0.019637,0.138259,0.212007
50,58.858685,921.049988,0.731905,0.74066,0.625,0.0,0.707299,61322.0,0.396813,1.791492,0.078145,0.417478,-0.077094,0.394273,7.362784,-0.1,-0.001,-0.01,-0.02,-0.2,0.468194,-0.004209,-0.009118,-0.004655,-0.000502,-0.391385,-0.169705,-0.026135,0.675332,-0.09193,-0.042503,-0.216249,-0.105491,0.861953,0.05151,-0.137408,-0.087672,-0.092864,4.416667,0.018973,0.140392,0.16526
51,62.096561,941.960022,0.753696,0.751202,0.5,0.0,0.703219,64228.0,0.404443,1.845684,0.085196,0.448949,-0.080764,0.441893,7.344911,-0.1,-0.001,-0.01,-0.02,-0.2,0.480129,-0.004314,-0.010739,-0.003393,-0.000536,-0.399028,-0.173378,-0.027034,0.717761,-0.092979,-0.043432,-0.218816,-0.113692,0.883462,0.053384,-0.140252,-0.080621,-0.081551,4.333333,0.018797,0.131036,0.159042
