iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
242,71.959061,1000.0,-0.010236,0.0,0.0,0.168968,93831.0
243,72.025238,1000.0,-0.010139,0.0,0.0,0.168423,97244.0
244,71.989319,1000.0,-0.01002,0.0,0.0,0.167466,93803.0
245,72.09269,1000.0,-0.010252,0.0,0.0,0.166523,84928.0
246,72.099991,1000.0,-0.009948,0.0,0.0,0.165528,97910.0
247,72.190598,1000.0,-0.00996,0.0,0.0,0.164705,93902.0
248,72.152161,1000.0,-0.010188,0.0,0.0,0.164291,94256.0
249,72.192169,1000.0,-0.009934,0.0,0.0,0.163678,93047.0
250,72.260933,1000.0,-0.010079,0.0,0.0,0.163342,89374.0
251,72.282059,1000.0,-0.00969,0.041667,0.0,0.162732,81161.0
252,72.374542,1000.0,-0.009659,0.0,0.0,0.162127,89324.0
253,72.374413,1000.0,-0.009633,0.0,0.0,0.161369,88845.0
254,72.47863,1000.0,-0.009739,0.0,0.0,0.159943,86707.0
255,72.46006,1000.0,-0.009664,0.0,0.0,0.159209,87616.0
256,72.573944,1000.0,-0.00958,0.0,0.0,0.158527,86137.0
257,72.488396,1000.0,-0.009545,0.0,0.0,0.157757,77721.0
258,72.585426,1000.0,-0.009571,0.0,0.0,0.156589,89135.0
259,72.52639,1000.0,-0.009567,0.0,0.0,0.155654,5597.0
260,72.68351,1000.0,-0.009364,0.0,0.0,0.155278,72055.0
261,72.672165,1000.0,-0.009388,0.0,0.0,0.154355,94195.0
262,72.696182,1000.0,-0.00945,0.0,0.0,0.153347,95118.0
263,72.736168,1000.0,-0.009345,0.0,0.0,0.152551,94195.0
264,72.747757,1000.0,-0.009608,0.0,0.0,0.151381,91659.0
265,72.792709,1000.0,-0.009341,0.0,0.0,0.150507,92152.0
