iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
262,69.709473,1000.0,0.939225,0.966552,0.0,0.0,0.505151,39277.0,0.253001
263,72.302788,1000.0,0.940671,0.968178,0.0,0.0,0.505031,47975.0,0.248462
264,70.648735,1000.0,0.938773,0.965254,0.0,0.0,0.504785,48857.0,0.249254
265,74.233711,987.059998,0.911674,0.936792,0.090909,0.0,0.503374,49285.0,0.242326
266,73.586769,1000.0,0.93752,0.967625,0.0,0.0,0.502842,47585.0,0.248545
267,69.79985,1000.0,0.941066,0.965172,0.0,0.0,0.502254,49006.0,0.246778
268,70.837875,996.580017,0.934591,0.963114,0.05,0.0,0.50042,48268.0,0.245001
269,67.062759,1000.0,0.942363,0.967513,0.0,0.0,0.499057,32818.0,0.252457
270,69.151901,1000.0,0.941561,0.970232,0.0,0.0,0.498398,48202.0,0.243378
271,67.906464,1000.0,0.942538,0.9671,0.0,0.0,0.498473,44468.0,0.249097
272,66.184319,994.359985,0.924371,0.953363,0.05,0.0,0.49751,50316.0,0.249625
273,64.440208,989.340027,0.932483,0.96266,0.045455,0.0,0.497297,47326.0,0.248198
274,67.40078,983.289978,0.88213,0.903986,0.117647,0.0,0.496579,57206.0,0.235276
275,68.729736,983.289978,0.940358,0.967301,0.0,0.0,0.495603,40110.0,0.251383
276,65.586754,982.109985,0.930776,0.957556,0.052632,0.0,0.49549,49078.0,0.248182
277,63.49028,993.799988,0.942656,0.967826,0.0,0.0,0.494818,50243.0,0.251005
278,62.858978,989.549988,0.926071,0.953189,0.157895,0.0,0.494841,48820.0,0.247148
279,64.958443,992.080017,0.93014,0.955985,0.05,0.0,0.494553,47809.0,0.243891
280,63.352398,993.549988,0.946868,0.969603,0.0,0.0,0.494472,48767.0,0.242889
281,64.982872,995.530029,0.930343,0.963033,0.043478,0.0,0.494274,45049.0,0.245061
282,62.194561,995.530029,0.940349,0.96837,0.0,0.0,0.49426,40786.0,0.25229
283,62.151176,993.440002,0.933587,0.956593,0.052632,0.0,0.494246,50139.0,0.241484
284,58.855835,993.22998,0.927976,0.957215,0.055556,0.0,0.493654,49072.0,0.250757
285,61.829166,991.340027,0.921844,0.947853,0.066667,0.0,0.493535,46947.0,0.245742
286,61.442436,991.340027,0.942367,0.967433,0.0,0.0,0.493562,55643.0,0.253475
287,65.175133,994.580017,0.931444,0.962564,0.055556,0.0,0.493578,55678.0,0.245716
288,64.331299,996.469971,0.947864,0.971601,0.0,0.0,0.493374,41327.0,0.2521
289,64.049179,996.469971,0.932654,0.96181,0.0,0.0,0.493719,58929.0,0.253924
290,65.043526,992.840027,0.925576,0.949153,0.052632,0.0,0.493389,53991.0,0.245078
291,68.468071,985.460022,0.933524,0.959518,0.05,0.0,0.494005,51923.0,0.241378
292,60.348133,986.309998,0.93055,0.961629,0.045455,0.0,0.494295,49388.0,0.244877
293,55.395195,995.409973,0.917415,0.945255,0.041667,0.0,0.495604,47053.0,0.246435
294,63.920105,999.97998,0.938407,0.966127,0.041667,0.0,0.496677,47060.0,0.245964
295,63.046638,1000.0,0.935592,0.962786,0.0,0.0,0.496468,37251.0,0.248335
296,57.898472,999.809998,0.941913,0.969458,0.083333,0.0,0.497197,47384.0,0.246137
297,60.60577,1000.0,0.941147,0.968549,0.0,0.0,0.497451,46244.0,0.248277
298,64.399536,996.289978,0.940763,0.967484,0.041667,0.0,0.497117,46357.0,0.247236
299,60.643223,1000.0,0.942508,0.969728,0.0,0.0,0.496786,46470.0,0.248189
300,62.623795,1000.0,0.942937,0.969396,0.0,0.0,0.495973,43840.0,0.243144
